run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,ena_first_public,ena_last_update,event_device,external_id,iho,insdc_center_alias,insdc_center_name,insdc_first_public,insdc_last_update,insdc_status,latitude_end,longitude_end,sampling_objective,submitter_id,broker_name,depth,env_biome,env_feature,env_material,environmental_package,event_date_time,latitude,longitude,geo_loc_name,mrgid,project_name,protocol_label,salinity_pss,sample_name_1,sample_title_1,sampling_campaign,sampling_platform,sampling_site,temperature_degC,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,size_frac_low,size_frac_up,size_frac,lat_lon,year,month,day,time,collection_date,layer,local_time,samp_size,samp_vol_we_dna_ext
ERR770993,PRJEB8682,0.645,WGS,RANDOM,Illumina MiSeq,260,marine metagenome,ERX714252,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"Sampling at 1m from floating dock@ Dept.of Marine Resources, Maine",SAMEA3275588,ERS667606,SAMEA3275588,OSD54_2014-06-21_1m_NPL022,2015-03-03,2016-10-21,Niskin,SAMEA3275588,North Atlantic Ocean,OSD_Bigelow Laboratory for Ocean Sciences,OSD_Bigelow Laboratory for Ocean Sciences,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,43.8444,69.6409,"Sampling at 1m from floating dock@ Dept.of Marine Resources, Maine",260,"Max Planck Institute for Marine Microbiology, Bremen",1,marine biome,surface water,seawater,water,2014-06-21T10:45:00+00,43.8444,-69.6409,North Atlantic Ocean,1912,Micro B3,NPL022,31,260,OSD54_2014-06-21_1m_NPL022,OSD-Jun-2014,Floating Dock,"OSD54,Maine Booth Bay",11.9,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1334725,645481198,358770843,2015-03-04 04:56:30,241.8,70.19,241.8,70.19,0.22,,0.22-NA,43.8444 -69.6409,2014,06,21,10:45:00,2014-06-21,surface water,,,
ERR770994,PRJEB8682,0.702,WGS,RANDOM,Illumina MiSeq,81,marine metagenome,ERX714344,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"The Objective of this sampling trip is to contribute to the Ã¢ÂÂOcean Sampling DayÃ¢ÂÂ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itÃ¢ÂÂs large patches of seagrass.",SAMEA3275590,ERS667608,SAMEA3275590,OSD53_2014-06-21_1m_NPL022,2015-03-03,2016-10-21,"collection device: 10 L buckets, measurement: YSI ptoplus probe",SAMEA3275590,Red Sea,OSD_American University of Cairo,OSD_American University of Cairo,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.041533,33.9082,"The Objective of this sampling trip is to contribute to the Ã¢ÂÂOcean Sampling DayÃ¢ÂÂ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itÃ¢ÂÂs large patches of seagrass.",81,"Max Planck Institute for Marine Microbiology, Bremen",1,marine biome,surface water,00002010,water,2014-06-21T10:43:00+00,27.041533,33.907033,Red Sea,4264,Micro B3,NPL022,38.352,81,OSD53_2014-06-21_1m_NPL022,OSD-Jun-2014,Zodiac,"OSD53,Ras Disha",27.283333333,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1500574,702304234,376436457,2015-03-04 04:56:27,234.01,75.5,234.01,75.5,0.22,,0.22-NA,27.041533 33.907033,2014,06,21,10:43:00,2014-06-21,surface water,,,
ERR770995,PRJEB8682,1.282,WGS,RANDOM,Illumina MiSeq,59,marine metagenome,ERX714345,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"The Objective of this sampling trip is to contribute to the Ã¢ÂÂOcean Sampling DayÃ¢ÂÂ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itÃ¢ÂÂs large patches of seagrass.",SAMEA3275591,ERS667609,SAMEA3275591,OSD52_2014-06-21_1m_NPL022,2015-03-03,2016-10-21,"collection device: 10 L Acid washed buckets, measurement device: YSI proplus probe",SAMEA3275591,Red Sea,OSD_American University of Cairo,OSD_American University of Cairo,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.02527,33.91253,"The Objective of this sampling trip is to contribute to the Ã¢ÂÂOcean Sampling DayÃ¢ÂÂ initiative through providing environmental water samples from the Red Sea, based on OSP standardized protocols. The Red Sea is a large marine ecosystem, characterized by a relatively high salinity and temperature with complex and diverse biological life including unique coral reefs. The two Red Sea samples were obtained near the coast of Hurghada, a main tourist center. Both sample sites Abu Hashish and Ras Disha are shallow diving sites (5 -30 m). Abu Hashish is characterized by hard, soft and table corals abundance. Ras Disha is also unique for itÃ¢ÂÂs large patches of seagrass.",59,"Max Planck Institute for Marine Microbiology, Bremen",1,marine biome,surface water,seawater,water,2014-06-21T12:07:00+00,27.02527,33.91255,Red Sea,4264,Micro B3,NPL022,38.33,59,OSD52_2014-06-21_1m_NPL022,OSD-Jun-2014,Zodiac,"OSD52,Abu Hashish",27,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,2784782,1281912762,656961240,2015-03-04 04:56:30,230.16,76.33,230.16,76.33,0.22,,0.22-NA,27.02527 33.91255,2014,06,21,12:07:00,2014-06-21,surface water,,,
ERR770996,PRJEB8682,0.685,WGS,RANDOM,Illumina MiSeq,122,marine metagenome,ERX714229,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,The sampling activity will be part of a long term project named Marine Geo,SAMEA3275598,ERS667616,SAMEA3275598,OSD51_2014-06-21_2m_NPL022,2015-03-03,2016-10-21,Water sampling Bottle Van Dorn 2.2 liters,SAMEA3275598,Caribbean Sea,OSD_Bocas del Toro Research Station,OSD_Bocas del Toro Research Station,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,9.3485,-82.266,The sampling activity will be part of a long term project named Marine Geo,122,"Max Planck Institute for Marine Microbiology, Bremen",2,Marine pelagic,Costal water,Surface water,water,2014-06-21T10:56:00+00,9.3485,-82.266,Caribbean Sea,4287,Micro B3,NPL022,34.6,122,OSD51_2014-06-21_2m_NPL022,OSD-Jun-2014,Research boat Loligo,"OSD51,Bocas del Toro (Panama)",29.1,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1478579,685465580,369195444,2015-03-04 04:56:30,231.8,75.66,231.8,75.66,0.22,,0.22-NA,9.3485 -82.266,2014,06,21,10:56:00,2014-06-21,surface water,,,
ERR770997,PRJEB8682,0.672,WGS,RANDOM,Illumina MiSeq,29,marine metagenome,ERX714323,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Contribute to OSD - obtain data for biodiversity and connectivity assessment within the DEVOTES project,SAMEA3275600,ERS667618,SAMEA3275600,OSD50_2014-06-20_0m_NPL022,2015-03-03,2016-10-21,Niskin bottle,SAMEA3275600,Bay of Biscay,OSD_AZTI Tecnalia,OSD_AZTI Tecnalia,2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,43.333333,-1.925,Contribute to OSD - obtain data for biodiversity and connectivity assessment within the DEVOTES project,29,"Max Planck Institute for Marine Microbiology, Bremen",0,Surface marine water,Surface Marine water,niskin bottle,water,2014-06-20T08:09:00+00,43.333333,-1.925,Bay of Biscay,2359,Micro B3,NPL022,34.3,29,OSD50_2014-06-20_0m_NPL022,OSD-Jun-2014,Pasaia Oceano meteorological station,"OSD50,Pasaia (Spain)",20,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1440731,671642892,362407317,2015-03-04 04:56:30,233.09,74.02,233.09,74.02,0.22,,0.22-NA,43.333333 -1.925,2014,06,20,08:09:00,2014-06-20,surface water,,,
ERR770998,PRJEB8682,0.437,WGS,RANDOM,Illumina MiSeq,114,marine metagenome,ERX714338,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Water Sampling for Prokaryotes,SAMEA3275639,ERS667661,SAMEA3275639,OSD5_2014-06-19_75m_NPL022,2015-03-03,2016-10-21,Niskin bottles,SAMEA3275639,Aegean Sea,OSD_Hellenic Centre for Marine Research,OSD_Hellenic Centre for Marine Research,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.661,24.99,Water Sampling for Prokaryotes,114,"Max Planck Institute for Marine Microbiology, Bremen",75,01000035,00002223,Deep Chlorophyll Maximum,water,2014-06-19T13:00:00+00,35.661,24.99,Aegean Sea,3315,Micro B3,NPL022,39.23,114,OSD5_2014-06-19_75m_NPL022,OSD-Jun-2014,Research Vessel Alkyon,"OSD5,Crete",16.87,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,836526,437283506,221767038,2015-03-04 04:56:30,261.37,67,261.37,67,0.22,,0.22-NA,35.661 24.99,2014,06,19,13:00:00,2014-06-19,deep chlorophyll maximum,,,
ERR770999,PRJEB8682,0.471,WGS,RANDOM,Illumina MiSeq,120,marine metagenome,ERX714269,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Water sampling for Prokaryotes.,SAMEA3275640,ERS667662,SAMEA3275640,OSD5_2014-06-19_1m_NPL022,2015-03-03,2016-10-21,Niskin bottles,SAMEA3275640,Aegean Sea,OSD_Hellenic Centre for Marine Research,OSD_Hellenic Centre for Marine Research,2015-03-03T17:02:18Z,2016-10-21T09:45:52Z,public,35.661,24.99,Water sampling for Prokaryotes.,120,"Max Planck Institute for Marine Microbiology, Bremen",1,ENVO:01000035,ENVO:00002223,ENVO:00002042,water,2014-06-19T07:15:00+00,35.661,24.99,Aegean Sea,3315,Micro B3,NPL022,39.29,120,OSD5_2014-06-19_1m_NPL022,OSD-Jun-2014,Research Vessel Alkyon,"OSD5,Crete",24.46,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,962714,471021614,247832135,2015-03-04 04:56:30,244.63,76.2,244.63,76.2,0.22,,0.22-NA,35.661 24.99,2014,06,19,07:15:00,2014-06-19,surface water,,,
ERR771000,PRJEB8682,0.659,WGS,RANDOM,Illumina MiSeq,126,marine metagenome,ERX714266,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"This\n sampling activity is also a part of a long-term time series data set \nthat is a part of an on-going water-quality monitoring program that \nMarine Biology Station (NIB, Slovenia) has supported for more than 15 \nyears.",SAMEA3275601,ERS667619,SAMEA3275601,OSD49_2014-06-21_2m_NPL022,2015-03-03,2016-10-21,5L Niskin,SAMEA3275601,Adriatic Sea,"OSD_Marine Biology Station, Piran","OSD_Marine Biology Station, Piran",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.325568,13.33189,"This\n sampling activity is also a part of a long-term time series data set \nthat is a part of an on-going water-quality monitoring program that \nMarine Biology Station (NIB, Slovenia) has supported for more than 15 \nyears.",126,"Max Planck Institute for Marine Microbiology, Bremen",2,marine biome,surface water,seawater,water,2014-06-21T10:30:00+00,45.325568,13.33189,Adriatic Sea,3314,Micro B3,NPL022,34,126,OSD49_2014-06-21_2m_NPL022,OSD-Jun-2014,research vessel,"OSD49,Slovenia (Vida)",22,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1361126,658785028,366279520,2015-03-04 04:56:30,242,72.87,242,72.87,0.22,,0.22-NA,45.325568 13.33189,2014,06,21,10:30:00,2014-06-21,surface water,,,
ERR771001,PRJEB8682,0.555,WGS,RANDOM,Illumina MiSeq,150,marine metagenome,ERX714349,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,OSD sampling,SAMEA3275602,ERS667620,SAMEA3275602,OSD48_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,10 L bottle,SAMEA3275602,Adriatic Sea,"OSD_Department of Biology, University of Padova","OSD_Department of Biology, University of Padova",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.4125,12.5265,OSD sampling,150,"Max Planck Institute for Marine Microbiology, Bremen",0,ENVO:01000047 MEDITTEREAN SEA BIOME,"ENVO:00002042, SURFACE WATER","ENVO:00002010, SEA WATER",water,2014-06-21T10:50:00+00,45.4125,12.5265,Adriatic Sea,3314,Micro B3,NPL022,33.14,150,OSD48_2014-06-21_0m_NPL022,OSD-Jun-2014,UNIPD Boat,"OSD48,Venice Gulf",22.2,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,979085,554601584,301488098,2015-03-04 04:56:30,283.22,48.84,283.22,48.84,0.22,,0.22-NA,45.4125 12.5265,2014,06,21,10:50:00,2014-06-21,surface water,,,
ERR771002,PRJEB8682,0.652,WGS,RANDOM,Illumina MiSeq,149,marine metagenome,ERX714348,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"",SAMEA3275603,ERS667621,SAMEA3275603,OSD47_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,10 L bottle,SAMEA3275603,Adriatic Sea,"OSD_Department of Biology, University of Padova","OSD_Department of Biology, University of Padova",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,45.502,12.4176,"",149,"Max Planck Institute for Marine Microbiology, Bremen",0,"ENVO:00000038, LAGOON","ENVO:00002042, SURFACE WATER","ENVO:00002019, BRACKISH WATER",water,2014-06-21T13:56:00+00,45.502,12.4176,Adriatic Sea,3314,Micro B3,NPL022,27.42,149,OSD47_2014-06-21_0m_NPL022,OSD-Jun-2014,UNIPD Boat,"OSD47,Venice Lagoon",25.3,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1273415,652386582,336537641,2015-03-04 04:56:31,256.16,71.3,256.16,71.3,0.22,,0.22-NA,45.502 12.4176,2014,06,21,13:56:00,2014-06-21,surface water,,,
ERR771003,PRJEB8682,0.288,WGS,RANDOM,Illumina MiSeq,190,marine metagenome,ERX714324,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,To determine the composition and diversity of microbes in the world's oceans\n,SAMEA3275604,ERS667622,SAMEA3275604,OSD46_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,Carboys,SAMEA3275604,Gulf of Mexico,OSD_University of Southern Mississippi (NOAA site),OSD_University of Southern Mississippi (NOAA site),2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,30.2484,-88.74825,To determine the composition and diversity of microbes in the world's oceans\n,190,"Max Planck Institute for Marine Microbiology, Bremen",0,Marine near barrier island,Surface water; influenced by Mississippi River output,Seawater,water,2014-06-21T14:00:00+00,30.2484,-88.74825,Gulf of Mexico,4288,Micro B3,NPL022,17.5,190,OSD46_2014-06-21_0m_NPL022,OSD-Jun-2014,"Boat, Gravois IV","OSD46,Gulf of Mexico MS (Horn Island)",29.8,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,511010,287867710,153030532,2015-03-04 04:56:31,281.67,57.08,281.67,57.08,0.22,,0.22-NA,30.2484 -88.74825,2014,06,21,14:00:00,2014-06-21,surface water,,,
ERR771004,PRJEB8682,0.649,WGS,RANDOM,Illumina MiSeq,175,marine metagenome,ERX714350,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,OSD Summer Solstice 2014. \nProkaryote samples - 6 replicate water samples of 10.5 Liters each (7 sterivex filters for each sample). \n,SAMEA3275605,ERS667623,SAMEA3275605,OSD45_2014-06-22_0m_NPL022,2015-03-03,2016-10-21,Collected seawater with clean bucket by hand toss from Fort Desoto Park Fishing Pier - transfered to sterile 20 Liter carboys on board - collected 3 20L carboys,SAMEA3275605,Gulf of Mexico,"OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami","OSD_NOAA Atlantic Oceanographic and Meteorological Laboratory, Miami",2015-03-03T17:02:18Z,2016-10-21T09:45:53Z,public,27.61578,-82.72587,OSD Summer Solstice 2014. \nProkaryote samples - 6 replicate water samples of 10.5 Liters each (7 sterivex filters for each sample). \n,175,"Max Planck Institute for Marine Microbiology, Bremen",0,ENVO:00000447,ENVO:00002042,seawater,water,2014-06-22T16:30:00+00,27.61578,-82.72587,Gulf of Mexico,4288,Micro B3,NPL022,33.84,175,OSD45_2014-06-22_0m_NPL022,OSD-Jun-2014,bucket toss from Fort DeSoto Fishing Pier,"OSD45,Gulf of Mexico Florida - Tampa Bay",31.2,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1400278,648863530,320485702,2015-03-04 04:56:31,231.69,79.75,231.69,79.75,0.22,,0.22-NA,27.61578 -82.72587,2014,06,22,16:30:00,2014-06-22,surface water,,,
ERR771005,PRJEB8682,0.614,WGS,RANDOM,Illumina MiSeq,92,marine metagenome,ERX714258,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,"The Scripps pier site is a major long term coastal sampling site on the west coast of the USA. It is managed by Scripps Institution of Oceanography, UCSD and is part of the NSF-funded California Current LTER. Oceanographic parameters and the abundance of different phytoplankton taxa, from harmful algae to cyanobacteria, are regularly monitored. The ocean sampling day samples were obtained as a collaboration of SIO, NOAA, and JCVI, and with accompanying metadata will help further our understanding of ecosystem dynamics at this site by providing a snap shot of diversity at the molecular level.\n",SAMEA3275607,ERS667625,SAMEA3275607,OSD43_2014-06-21_0m_NPL022,2015-03-03,2016-10-21,"Bucket, YSI",SAMEA3275607,North Pacific Ocean,OSD_Scripps Institute of Oceanography,OSD_Scripps Institute of Oceanography,2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,32.86698,-117.25725,"The Scripps pier site is a major long term coastal sampling site on the west coast of the USA. It is managed by Scripps Institution of Oceanography, UCSD and is part of the NSF-funded California Current LTER. Oceanographic parameters and the abundance of different phytoplankton taxa, from harmful algae to cyanobacteria, are regularly monitored. The ocean sampling day samples were obtained as a collaboration of SIO, NOAA, and JCVI, and with accompanying metadata will help further our understanding of ecosystem dynamics at this site by providing a snap shot of diversity at the molecular level.\n",92,"Max Planck Institute for Marine Microbiology, Bremen",0,Marine Biome,marine Habitat,Surface water,water,2014-06-21T10:49:00+00,32.86698,-117.25725,North Pacific Ocean,1908,Micro B3,NPL022,33.54,92,OSD43_2014-06-21_0m_NPL022,OSD-Jun-2014,"Coastal Structure, Ellen Browning Scripps Pier","OSD43,California Scripps - SIO Pier",20.04,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1193666,614348810,312900971,2015-03-04 04:56:31,257.34,71.21,257.34,71.21,0.22,,0.22-NA,32.86698 -117.25725,2014,06,21,10:49:00,2014-06-21,surface water,,,
ERR771006,PRJEB8682,0.58,WGS,RANDOM,Illumina MiSeq,43,marine metagenome,ERX714326,Illumina MiSeq paired end sequencing; Metagenome Shotgun Sequencing,,METAGENOMIC,PAIRED,ILLUMINA,"OSD-CONSORTIUM, European Nucleotide Archive, ",ERP009703,osd-2014,osd-2014,OSD-CONSORTIUM,,,,,,,,Samples from a meromictic lake,SAMEA3275608,ERS667626,SAMEA3275608,OSD42_2014-06-21_3m_NPL022,2015-03-03,2016-10-21,Niskin bottle,SAMEA3275608,Tyrrhenian Sea,"OSD_Institute for Coastal Marine Environments, CNR, Messina, Italy","OSD_Institute for Coastal Marine Environments, CNR, Messina, Italy",2015-03-03T17:02:19Z,2016-10-21T09:45:55Z,public,38.26861,15.63708,Samples from a meromictic lake,43,"Max Planck Institute for Marine Microbiology, Bremen",3,Meromictic lakes are unusual hydrological formations where bodies of water follow a seasonal cycle of stratifi- cation but do not mix completely.,meromictic lake that communicates with the Mediterranean Sea through channels,lake,water,2014-06-21T11:00:00+00,38.26861,15.63708,Tyrrhenian Sea,3386,Micro B3,NPL022,36.8,43,OSD42_2014-06-21_3m_NPL022,OSD-Jun-2014,boat_papÃ Giovanni,"OSD42,Faro Lake",20,Ocean Sampling Day (OSD) 2014: AUTHORITY-RAW amplicon and metagenome sequencing study from the June solstice in the year 2014,marine metagenome,"Sequencing of amplicon and metagenome samples from the main OSD event, representing joint effort of marine sampling stations around the world. The OSD campaign aims to analyze marine microbial community compositions and embedded functional traits on a single day, the solstice on 2014-06-21.",[],1,1186452,580121040,270863881,2015-03-04 04:56:31,244.48,72.65,244.48,72.65,0.22,,0.22-NA,38.26861 15.63708,2014,06,21,11:00:00,2014-06-21,surface water,,,
