run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,host,isolation_source,collection_date,geo_loc_name,lat_lon,samp_collect_device,source_material_id,temp,phosphate,nitro,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,replicate,library_id_pub,ccdho_expocode_pub,section_id_pub,latitude_decimal_deg_n_pub,longitude_decimal_deg_w_pub,year_pub,month_pub,day_pub,local_hour_pub,local_minute_pub,iso_datetime_utc_pub,depth,temperature_deg_c_pub,phosphate_bottle_umol_l_1_pub,nitrate+nitrite_bottle_umol_l_1_pub,ctd_station_no_pub,sample_method_pub,platform_strategy_pub
SRR12479706,PRJNA656268,1.358,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_030_meta,marine metagenome,SRX8973726,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_030_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_030,SRS7229319,SAMN15782822,I9N2016_030_meta,,"marine water, oceanic",2016-03-27T10:30:00Z,Indian Ocean,23.879667 S 95.000000 E,underway,IN030,24.722 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,4497148,1358138696,426392711,2021-03-01 10:09:00,151,0,151,0,"",I9N2016_030_meta,33RR20160321,I09N,-23.879667,95,2016,3,27,16,30,2016-03-27T10:30:00Z,7,24.722000000000001,NA,NA,NA,underway,NovaSeq_150PE
SRR12479707,PRJNA656268,1.386,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_029_meta,marine metagenome,SRX8973725,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_029_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_029,SRS7229318,SAMN15782821,I9N2016_029_meta,,"marine water, oceanic",2016-03-27T07:30:00Z,Indian Ocean,24.136950 S 94.999900 E,underway,IN029,24.025 C,0.070 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,4589925,1386157350,436709589,2021-03-01 10:09:00,151,0,151,0,"",I9N2016_029_meta,33RR20160321,I09N,-24.13695,94.9999,2016,3,27,13,30,2016-03-27T07:30:00Z,7,24.024999999999999,7.0000000000000007E-2,0,NA,underway,NovaSeq_150PE
SRR12479708,PRJNA656268,1.523,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_028_meta,marine metagenome,SRX8973724,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_028_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_028,SRS7229317,SAMN15782820,I9N2016_028_meta,,"marine water, oceanic",2016-03-27T03:15:00Z,Indian Ocean,24.463833 S 94.999983 E,underway,IN028,24.171 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,5042427,1522812954,491731619,2021-03-01 10:09:00,151,0,151,0,"",I9N2016_028_meta,33RR20160321,I09N,-24.463833,94.999983,2016,3,27,9,15,2016-03-27T03:15:00Z,7,24.170999999999999,NA,NA,NA,underway,NovaSeq_150PE
SRR12479709,PRJNA656268,1.583,WGS,RANDOM,Illumina NovaSeq 6000,I9N2016_027_meta,marine metagenome,SRX8973723,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_027_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_027,SRS7229316,SAMN15782819,I9N2016_027_meta,,"marine water, oceanic",2016-03-27T00:00:00Z,Indian Ocean,24.732362 S 94.999745 E,underway,IN027,24.417 C,0.070 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,5243129,1583424958,511521210,2021-03-01 10:09:00,151,0,151,0,"",I9N2016_027_meta,33RR20160321,I09N,-24.732362,94.999745,2016,3,27,6,0,2016-03-27T00:00:00Z,7,24.417000000000002,7.0000000000000007E-2,0,NA,underway,NovaSeq_150PE
SRR12479710,PRJNA656268,4.674,WGS,RANDOM,Illumina HiSeq 4000,I9N2016_026_meta,marine metagenome,SRX8973722,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_026_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_026,SRS7229315,SAMN15782818,I9N2016_026_meta,,"marine water, oceanic",2016-03-26T20:00:00Z,Indian Ocean,24.964705 S 95.000050 E,underway,IN026,24.497 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,15581323,4674396900,1990930004,2021-03-01 10:09:00,150,0,150,0,"",I9N2016_026_meta,33RR20160321,I09N,-24.964705,95.00005,2016,3,27,2,0,2016-03-26T20:00:00Z,7,24.497,NA,NA,NA,underway,HiSeq_150PE
SRR12479711,PRJNA656268,5.217,WGS,RANDOM,Illumina HiSeq 4000,I9N2016_025_meta,marine metagenome,SRX8973721,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_025_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_025,SRS7229314,SAMN15782817,I9N2016_025_meta,,"marine water, oceanic",2016-03-26T15:30:00Z,Indian Ocean,25.334947 S 94.999563 E,underway,IN025,24.715 C,0.050 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,17389135,5216740500,2214733962,2021-03-01 10:09:00,150,0,150,0,"",I9N2016_025_meta,33RR20160321,I09N,-25.334947,94.999563,2016,3,26,21,30,2016-03-26T15:30:00Z,7,24.715,0.05,0,NA,underway,HiSeq_150PE
SRR12479712,PRJNA656268,5.089,WGS,RANDOM,Illumina NovaSeq 6000,AMT2018_039_meta,marine metagenome,SRX8973720,Metagenome of whole ocean water: Bio-GO-SHIP,AMT2018_039_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,Station 20,AMT2018_039,SRS7229313,SAMN15782474,AMT2018_039_meta,,"marine water, oceanic",2018-10-05T06:38:00Z,Atlantic Ocean,19.077767 N 28.816733 W,CTD,AMT039,26.200 C,0.000 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,16849891,5088667082,1668364324,2021-03-01 10:09:00,151,0,151,0,"",AMT2018_039_meta,74JC20180923,AMT28,19.077767,-28.816733,2018,10,5,4,38,2018-10-05T06:38:00Z,5,26.2,0,0,20,CTD,NovaSeq_150PE
SRR12479713,PRJNA656268,4.36,WGS,RANDOM,Illumina HiSeq 4000,I9N2016_024_meta,marine metagenome,SRX8973719,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_024_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_024,SRS7229312,SAMN15782816,I9N2016_024_meta,,"marine water, oceanic",2016-03-26T12:30:00Z,Indian Ocean,25.631000 S 94.999983 E,underway,IN024,24.671 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,14534496,4360348800,1870156132,2021-03-01 10:09:00,150,0,150,0,"",I9N2016_024_meta,33RR20160321,I09N,-25.631,94.999983,2016,3,26,18,30,2016-03-26T12:30:00Z,7,24.670999999999999,NA,NA,NA,underway,HiSeq_150PE
SRR12479714,PRJNA656268,5.887,WGS,RANDOM,Illumina HiSeq 4000,I9N2016_023_meta,marine metagenome,SRX8973718,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_023_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_023,SRS7229311,SAMN15782815,I9N2016_023_meta,,"marine water, oceanic",2016-03-26T10:00:00Z,Indian Ocean,25.904700 S 95.000183 E,underway,IN023,24.714 C,0.070 umol/L,0.000 umol/L,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,19622612,5886783600,2476477581,2021-03-01 10:09:00,150,0,150,0,"",I9N2016_023_meta,33RR20160321,I09N,-25.9047,95.000183,2016,3,26,16,0,2016-03-26T10:00:00Z,7,24.713999999999999,7.0000000000000007E-2,0,NA,underway,HiSeq_150PE
SRR12479715,PRJNA656268,4.587,WGS,RANDOM,Illumina HiSeq 4000,I9N2016_022_meta,marine metagenome,SRX8973717,Metagenome of whole ocean water: Bio-GO-SHIP,I9N2016_022_meta,METAGENOMIC,PAIRED,ILLUMINA,"Earth System Science, Bio-GO-SHIP",SRP278138,PRJNA656268,Marine metagenome,Biological Global Ocean Ship-based Hydrographic Investigations Program,Earth System Science,Biological Global Ocean Ship-based Hydrographic Investigations Program,"3208 Croul Hall, University of California Irvine",Irvine,USA,Adam C. Martiny,amartiny@uci.edu,No Station,I9N2016_022,SRS7229310,SAMN15782814,I9N2016_022_meta,,"marine water, oceanic",2016-03-26T06:00:00Z,Indian Ocean,25.990000 S 94.999833 E,underway,IN022,24.308 C,,,Metagenome or environmental,Bio-GO-SHIP: Global marine 'omics studies of repeat hydrography transects,"Metagenomes generated through Illumina Nextera DNA tagmentation followed by PCR annealing of unique dual index barcodes. Libraries were bead-cleaned, quantified, and pooled at equimolar concentration. Pooled libraries were sequenced for 150 bp PE reads.","The Global Ocean Shipboard Hydrographic Investigations Program (GO-SHIP) is a ship-based global survey of ocean hydrographic sections, which are repeatedly measured on a decadal time scale. The program covers a suite of physical (light, heat, currents, water column structure, etc.) and chemical (nutrients, oxygen, dissolved organic and inorganic carbon, pH, etc.) state variables over the full ocean water column, and in areas of the ocean inaccessible to other platforms. The principal scientific objectives for GO-SHIP are: (1) understanding and documenting the large-scale ocean water property distributions, their changes, and drivers of those changes, and (2) addressing questions of how a future ocean will increase in dissolved inorganic carbon, become more acidified and more stratified, and experience changes in circulation and ventilation processes due to global warming and altered water cycle.The vision of the biological GO-SHIP initiative, or ""Bio-GO-SHIP,"" is to develop a deep understanding of the link between the physio-chemical environment and global ocean plankton diversity, abundance, and biogeochemical roles in the context of a changing ocean. This will be achieved through systematic, high-quality, and calibrated sampling of marine 'omics products.In this BioProject, we aim to provide a singular resource for Bio-GO-SHIP 'omics datasets. We also provide appropriate metadata such that the 'omics data may be linked to the broad range of state variables measured by GO-SHIP and associated oceanographic transects.","[{""label"": ""The Global Ocean Ship-based Hydrographic Investigations Program"", ""url"": ""https://www.go-ship.org/""}]",1,15288499,4586549700,1940372125,2021-03-01 10:09:00,150,0,150,0,"",I9N2016_022_meta,33RR20160321,I09N,-25.99,94.999833,2016,3,26,12,0,2016-03-26T06:00:00Z,7,24.308,NA,NA,NA,underway,HiSeq_150PE
