run,bioproject,gbp,library_strategy,library_selection,model,sample_name,taxon_name,experiment_accession,experiment_title,library_name,library_source,library_layout,platform,submitter,study_accession,study_alias,study_centre_project_name,organisation,organisation_department,organisation_institution,organisation_street,organisation_city,organisation_country,organisation_contact_name,organisation_contact_email,sample_description,sample_alias,sample_accession,biosample,sample_title,collection_date,depth,geo_loc_name,lat_lon,alkalinity,chlorophyll,diss_inorg_carb,nitro,ph,phaeopigments,salinity,silicate,temp,env_broad_scale,env_local_scale,env_medium,phosphate,tot_part_carb,isolation_source,filter_size_um,biosamplemodel,study_title,design_description,study_abstract,study_links,number_of_runs_for_sample,spots,bases,run_size,published,read1_length_average,read1_length_stdev,read2_length_average,read2_length_stdev,diss_oxygen,pressure,local_time,pre_filter_size_um,env_biome,env_feature,env_material,altitude,diss_org_carb
SRR23969219,PRJNA352737,5.063,WGS,RANDOM,NextSeq 500,HSD00-20a-292-S2C004-0045_190919,marine plankton metagenome,SRX19773662,"Planktonic metagenomic time series sample from SCOPE HOT cruise 292 at Station 2.0 and Cast 4.0, 45m deep sequenced on 20190919",HSD00-20a-292-S2C004-0045_190919,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 292 at Station 2.0 and Cast 4.0, 45m deep",HSD00-20a-292-S2C004-0045,SRS17137535,SAMN25282997,SCOPE HOT time series metagenomic sample HSD00-20a-292-S2C004-0045,2017-04-26,45,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.758 N 158.016 W,2301,83,1995.5,,8.062,,34.9136,1.35,24.7005,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,2.46,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,16825807,5062557276,1993219384,2023-03-25 18:46:47,150.41,3.33,150.48,1.72,214.6,45.4,00-06-00,,"","","",,
SRR23969220,PRJNA352737,9.787,WGS,RANDOM,NextSeq 500,HSD00-20a-285-S2C007-0100_190619,marine plankton metagenome,SRX19773661,"Planktonic metagenomic time series sample from SCOPE HOT cruise 285 at Station 2.0 and Cast 7.0, 100m deep sequenced on 20190619",HSD00-20a-285-S2C007-0100_190619,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 285 at Station 2.0 and Cast 7.0, 100m deep",HSD00-20a-285-S2C007-0100,SRS17137534,SAMN25282775,SCOPE HOT time series metagenomic sample HSD00-20a-285-S2C007-0100,2016-07-12,100,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.736 N 158.085 W,2316,151,2009.2,,8.057,,35.157,1.45,23.7816,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.09,1.97,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,32514148,9787084769,4345472937,2023-03-25 18:57:34,150.5,1.74,150.51,1.07,208.3,100.1,09-24-00,,"","","",,
SRR23969221,PRJNA352737,13.783,WGS,RANDOM,NextSeq 500,HSD00-20a-284-S2C005-0100_190129,marine plankton metagenome,SRX19773660,"Planktonic metagenomic time series sample from SCOPE HOT cruise 284 at Station 2.0 and Cast 5.0, 100m deep sequenced on 20190129",HSD00-20a-284-S2C005-0100_190129,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 284 at Station 2.0 and Cast 5.0, 100m deep",HSD00-20a-284-S2C005-0100,SRS17137533,SAMN25282850,SCOPE HOT time series metagenomic sample HSD00-20a-284-S2C005-0100,2016-05-29,100,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.741 N 157.959 W,2331,175,2009.2,,8.063,,35.2412,,23.0756,ENVO:00000447,ENVO:01000038,ENVO:00002151,,1.66,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,45793055,13782614476,5843636054,2023-03-25 19:18:14,150.49,1.8,150.49,1.42,211.7,100.4,10-42-00,,"","","",,
SRR23969222,PRJNA352737,8.615,WGS,RANDOM,NextSeq 500,HSD00-20a-293-S2C004-0075_191008,marine plankton metagenome,SRX19773659,"Planktonic metagenomic time series sample from SCOPE HOT cruise 293 at Station 2.0 and Cast 4.0, 75m deep sequenced on 20191008",HSD00-20a-293-S2C004-0075_191008,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 293 at Station 2.0 and Cast 4.0, 75m deep",HSD00-20a-293-S2C004-0075,SRS17137532,SAMN25282773,SCOPE HOT time series metagenomic sample HSD00-20a-293-S2C004-0075,2017-05-24,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.755 N 158.000 W,2310,133,1998.2,,8.064,,35.0749,1.23,23.5271,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.04,2.53,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,28633484,8615298033,3503939811,2023-03-25 18:51:43,150.38,4.02,150.5,1.43,222.1,75,00-25-00,,"","","",,
SRR23969223,PRJNA352737,6.407,WGS,RANDOM,NextSeq 500,HSD00-20a-296-S2C003-0005_191127,marine plankton metagenome,SRX19773658,"Planktonic metagenomic time series sample from SCOPE HOT cruise 296 at Station 2.0 and Cast 3.0, 5m deep sequenced on 20191127",HSD00-20a-296-S2C003-0005_191127,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 296 at Station 2.0 and Cast 3.0, 5m deep",HSD00-20a-296-S2C003-0005,SRS17137531,SAMN25282927,SCOPE HOT time series metagenomic sample HSD00-20a-296-S2C003-0005,2017-10-06,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.700 N 158.066 W,2310,84,1987.8,,8.084,,35.091,1.98,26.885,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.02,3.35,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,21288250,6407176785,2554993785,2023-03-25 18:47:55,150.47,2.65,150.51,1.31,203.5,5.5,23-57-00,,"","","",,
SRR23969224,PRJNA352737,5.608,WGS,RANDOM,NextSeq 500,HSD00-20a-286-S2C003-0005_190722,marine plankton metagenome,SRX19773657,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 5m deep sequenced on 20190722",HSD00-20a-286-S2C003-0005_190722,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 5m deep",HSD00-20a-286-S2C003-0005,SRS17137530,SAMN25283032,SCOPE HOT time series metagenomic sample HSD00-20a-286-S2C003-0005,2016-08-09,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.740 N 157.970 W,2301,59,1982.2,,8.076,,34.8815,1.04,26.2727,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,2.1,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,18640586,5608364445,2250217347,2023-03-25 18:46:47,150.43,2.44,150.44,2.02,204.7,6.7,23-57-00,,"","","",,
SRR23969225,PRJNA352737,5.088,WGS,RANDOM,NextSeq 500,HSD00-20a-289-S2C003-0005_190809,marine plankton metagenome,SRX19773656,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 5m deep sequenced on 20190809",HSD00-20a-289-S2C003-0005_190809,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 289 at Station 2.0 and Cast 3.0, 5m deep",HSD00-20a-289-S2C003-0005,SRS17137529,SAMN25282758,SCOPE HOT time series metagenomic sample HSD00-20a-289-S2C003-0005,2017-01-24,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.748 N 157.994 W,2307,129,2003,,8.058,,35.0688,1.23,23.6083,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,1.81,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,16908394,5088010243,2020519588,2023-03-25 18:46:47,150.44,2.83,150.48,1.42,211.2,7.7,01-56-00,,"","","",,
SRR23969227,PRJNA352737,7.329,WGS,RANDOM,NextSeq 500,HSD00-20a-294-S2C004-0025_191008,marine plankton metagenome,SRX19773654,"Planktonic metagenomic time series sample from SCOPE HOT cruise 294 at Station 2.0 and Cast 4.0, 25m deep sequenced on 20191008",HSD00-20a-294-S2C004-0025_191008,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 294 at Station 2.0 and Cast 4.0, 25m deep",HSD00-20a-294-S2C004-0025,SRS17137527,SAMN25282750,SCOPE HOT time series metagenomic sample HSD00-20a-294-S2C004-0025,2017-06-21,25,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.750 N 157.995 W,2288,57,1975.7,,8.076,,34.7884,1.14,26.1748,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.06,2.31,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,24383106,7329215631,3013258218,2023-03-25 18:47:55,150.13,6.4,150.45,2.03,205.7,25.7,01-01-00,,"","","",,
SRR23969228,PRJNA352737,4.985,WGS,RANDOM,NextSeq 500,HSD00-20a-286-S2C003-0075_190722,marine plankton metagenome,SRX19773653,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 75m deep sequenced on 20190722",HSD00-20a-286-S2C003-0075_190722,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 286 at Station 2.0 and Cast 3.0, 75m deep",HSD00-20a-286-S2C003-0075,SRS17137526,SAMN25282898,SCOPE HOT time series metagenomic sample HSD00-20a-286-S2C003-0075,2016-08-09,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.740 N 157.970 W,2320,152,2016.4,,8.051,,35.1829,,23.4774,ENVO:00000447,ENVO:01000038,ENVO:00002151,,2.55,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,16563314,4985310145,2022081026,2023-03-25 18:46:47,150.49,1.73,150.5,1.37,212.7,76.6,23-57-00,,"","","",,
SRR23969229,PRJNA352737,5.913,WGS,RANDOM,NextSeq 500,HSD00-20b-290-S2C003-0075_190927,marine plankton metagenome,SRX19773652,"Planktonic metagenomic time series sample from SCOPE HOT cruise 290 at Station 2.0 and Cast 5.0, 75m deep sequenced on 20190927",HSD00-20b-290-S2C003-0075_190927,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 290 at Station 2.0 and Cast 5.0, 75m deep",HSD00-20b-290-S2C005-0075,SRS17137525,SAMN25282817,SCOPE HOT time series metagenomic sample HSD00-20b-290-S2C005-0075,2017-02-23,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.797 N 157.969 W,2303,190,1994.5,,8.073,,34.9656,1.16,23.6209,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.07,1.97,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,19647519,5912654070,2364654523,2023-03-25 18:47:55,150.46,2.39,150.48,1.55,210.2,100.8,09-11-00,,"","","",,
SRR23969230,PRJNA352737,8.546,WGS,RANDOM,NextSeq 500,HSD00-20a-285-S2C005-0005_190619,marine plankton metagenome,SRX19773651,"Planktonic metagenomic time series sample from SCOPE HOT cruise 285 at Station 2.0 and Cast 5.0, 5m deep sequenced on 20190619",HSD00-20a-285-S2C005-0005_190619,METAGENOMIC,PAIRED,ILLUMINA,"DeLong Lab, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,USA,John Eppley,jmeppley@hawaii.edu,"Planktonic metagenomic time series sample from SCOPE HOT cruise 285 at Station 2.0 and Cast 5.0, 5m deep",HSD00-20a-285-S2C005-0005,SRS17137524,SAMN25282834,SCOPE HOT time series metagenomic sample HSD00-20a-285-S2C005-0005,2016-07-12,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.749 N 158.001 W,2300,51,1985.6,,8.073,,34.9062,1.26,25.9008,ENVO:00000447,ENVO:01000038,ENVO:00002151,0.08,2.35,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,28399483,8546191807,3706267596,2023-03-25 18:55:09,150.45,2.63,150.48,1.39,,,02-54-00,,"","","",,
SRR9178069,PRJNA352737,8.001,WGS,RANDOM,NextSeq 500,HSD20-02a-268-S2C004-0005-170212,marine plankton metagenome,SRX5951065,SCOPE metagenome (small size fraction) from HOT cruise 268 to station ALOHA. Sequenced on 20170212,HSD20-02a-268-S2C004-0005-170212,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD20-02a-268-S2C004-0005,SRS4861564,SAMN11874702,SCOPE HOT time series metagenomic sample HSD20-02a-268-S2C004-0005,2014-12-17,5,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2327,0,2008,0,8.07,0,35,,25,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,0,2,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.02,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,26602844,8000787527,3569917707,2019-06-07 15:51:05,150.37,3.11,150.38,2.75,,,"",0.2,"","","",,
SRR9178070,PRJNA352737,2.49,WGS,RANDOM,NextSeq 500,HSD20-02a-268-S2C004-0045-170212,marine plankton metagenome,SRX5951064,SCOPE metagenome (small size fraction) from HOT cruise 268 to station ALOHA. Sequenced on 20170212,HSD20-02a-268-S2C004-0045-170212,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD20-02a-268-S2C004-0045,SRS4861789,SAMN11874704,SCOPE HOT time series metagenomic sample HSD20-02a-268-S2C004-0045,2014-12-17,45,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2328,0,2008,0,8.07,0,35,1,25,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,0,2,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.02,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,8280950,2489780040,1111814926,2019-06-07 15:51:05,150.32,4.03,150.34,3.54,,,"",0.2,"","","",,
SRR9178074,PRJNA352737,3.903,WGS,RANDOM,NextSeq 500,HSD20-02a-279-S2C004-0075-170412,marine plankton metagenome,SRX5951060,SCOPE metagenome (small size fraction) from HOT cruise 279 to station ALOHA. Sequenced on 20170412,HSD20-02a-279-S2C004-0075-170412,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD20-02a-279-S2C004-0075,SRS4861529,SAMN11874822,SCOPE HOT time series metagenomic sample HSD20-02a-279-S2C004-0075,2015-12-09,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2319,0,1996,0,8.08,0,35,1,25,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,0,2,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.02,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,13001967,3903020733,1757857025,2019-06-07 15:51:04,150.02,6.63,150.17,5.07,,,"",0.2,"","","",,
SRR9178078,PRJNA352737,2.782,WGS,RANDOM,NextSeq 500,HSD20-02a-281-S2C004-0075-170217,marine plankton metagenome,SRX5951056,SCOPE metagenome (small size fraction) from HOT cruise 281 to station ALOHA. Sequenced on 20170217,HSD20-02a-281-S2C004-0075-170217,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD20-02a-281-S2C004-0075,SRS4861782,SAMN11874846,SCOPE HOT time series metagenomic sample HSD20-02a-281-S2C004-0075,2016-02-10,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2321,0,2005,,8.07,0,35,,24,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,,2,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.02,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,9268672,2782327780,1249042867,2019-06-07 15:51:04,150.08,5.93,150.1,5.49,,,"",0.2,"","","",,
SRR9178082,PRJNA352737,11.297,WGS,RANDOM,NextSeq 500,HSD00-20a-273-S2C008-0100-161026,marine plankton metagenome,SRX5951052,SCOPE metagenome (large size fraction) from HOT cruise 273 to station ALOHA. Sequenced on 20161026,HSD00-20a-273-S2C008-0100-161026,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD00-20a-273-S2C008-0100,SRS4861778,SAMN11874574,SCOPE HOT time series metagenomic sample HSD00-20a-273-S2C008-0100,2015-06-20,100,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2325,0,2012,0,8.07,0,35,1,24,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,0,,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,37841135,11297387088,5221572728,2019-06-07 15:51:03,149.15,11.29,149.4,10.02,,,"",,"","","",,
SRR9178085,PRJNA352737,11.165,WGS,RANDOM,NextSeq 500,HSD00-20a-282-S2C004-0075-170504,marine plankton metagenome,SRX5951049,SCOPE metagenome (large size fraction) from HOT cruise 282 to station ALOHA. Sequenced on 20170504,HSD00-20a-282-S2C004-0075-170504,METAGENOMIC,PAIRED,ILLUMINA,"SCOPE, SCOPE",SRP092796,PRJNA352737,marine plankton metagenome,SCOPE,DeLong Lab,SCOPE,1950 East West Road,Honolulu,United States of America,John Eppley,scopeuh@gmail.com,"",HSD00-20a-282-S2C004-0075,SRS4861775,SAMN11874669,SCOPE HOT time series metagenomic sample HSD00-20a-282-S2C004-0075,2016-03-09,75,"Pacific Ocean: North Pacific Gyre, Station ALOHA",22.75 N 158 W,2315,0,1996,,8.07,0,35,,24,ENVO:00000447,ENVO:00000209|ENVO:00000569,ENVO:00002151,,2,ocean water sample from Hawaii Ocean Time-series (HOT) cruises,0.2,MIGS/MIMS/MIMARKS.water,HOT ALOHA metagenomic time and depth series,TruSeq LT,"A time-resolved deep metagenomic survey of bacterioplankton from the ocean's surface to a depth of 1,000 m in the North Pacific Subtropical Gyre at Station ALOHA, collected from Hawaii Ocean Time-series (HOT) cruises from August 2010 through November 2017.","[{""db"": ""pubmed"", ""id"": ""28808230""}]",1,37185215,11164701264,4819948563,2019-06-07 15:51:03,150.1,5.78,150.15,5.18,,,"",,"","","",,
