sample	latitude	longitude	project	depth	temperature_degC	year	model	layer	season	sub_region_seavox	region_seavox	provdescr_longhurst	environment	env_biome	env_feature	env_material
BATS_SAMN07137115_10_2004_06_15	31.66	-64.16	BATS	10.0	24.488	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137118_1_2004_08_17	31.66	-64.16	BATS	1.0	28.522	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137121_1_2004_02_24	31.66	-64.16	BATS	1.0	20.214	2004.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN07137122_40_2004_02_24	31.66	-64.16	BATS	40.0	20.0	2004.0	NextSeq 550	deep chlorophyll maximum		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN08390924_10_2009_07_14	31.66	-64.16	BATS	10.0	23.634	2009.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BATS_SAMN08390925_100_2009_11_07	31.66	-64.16	BATS	100.0	24.501	2009.0	NextSeq 550	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies	ocean biome	ocean	water
BGS_SAMN15782437_1_2013_08_26	55.003817	-48.998083	BGS	1.0	10.385	2013.0	Illumina HiSeq 4000	surface water		LABRADOR SEA	ATLANTIC OCEAN	Polar - Atlantic Arctic Province	Polar			
BGS_SAMN15782438_1_2013_08_27	52.996017	-45.995183	BGS	1.0	11.765	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Polar - Atlantic Arctic Province	Polar			
BGS_SAMN15782439_25_2013_08_27	52.996017	-45.995183	BGS	25.0	11.674	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Polar - Atlantic Arctic Province	Polar			
BGS_SAMN15782440_5_2013_08_28	50.99985	-43.000517	BGS	5.0	13.354	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782442_5_2013_08_29	49.001717	-40.002817	BGS	5.0	15.58	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782443_5_2013_08_30	47.00085	-42.502167	BGS	5.0	18.337	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782444_40_2013_08_30	47.00085	-42.502167	BGS	40.0	9.27	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782445_5_2013_08_31	44.993283	-45.002433	BGS	5.0	18.518	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Coastal - NW Atlantic Shelves Province	Coastal			
BGS_SAMN15782446_40_2013_08_31	44.993283	-45.002433	BGS	40.0	7.99	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Coastal - NW Atlantic Shelves Province	Coastal			
BGS_SAMN15782447_5_2013_09_01	43.001683	-47.498533	BGS	5.0	19.357	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - Gulf Stream Province	Westerlies			
BGS_SAMN15782448_25_2013_09_01	43.001683	-47.498533	BGS	25.0	10.715	2013.0	Illumina HiSeq 4000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - Gulf Stream Province	Westerlies			
BGS_SAMN15782449_5_2013_09_02	41.00175	-50.0005	BGS	5.0	23.741	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - Gulf Stream Province	Westerlies			
BGS_SAMN15782453_5_2013_09_06	33.00055	-60.0001	BGS	5.0	27.517	2013.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Subtropical Gyral Province (West) (STGW)	Westerlies			
BGS_SAMN15782455_5_2018_09_25	49.6381	-5.5016	BGS	5.0	15.13	2018.0	Illumina NovaSeq 6000	surface water		CELTIC SEA	ATLANTIC OCEAN	Coastal - NE Atlantic Shelves Province	Coastal			
BGS_SAMN15782456_5_2018_09_26	48.469383	-8.83655	BGS	5.0	16.36	2018.0	Illumina NovaSeq 6000	surface water		CELTIC SEA	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782458_5_2018_09_27	46.029083	-12.732517	BGS	5.0	18.9	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - N. Atlantic Drift Province (WWDR)	Westerlies			
BGS_SAMN15782475_5_2018_10_05	17.74185	-28.929883	BGS	5.0	26.78	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - N. Atlantic Tropical Gyral Province (TRPG)	Trades			
BGS_SAMN15782476_5_2018_10_06	15.076083	-28.61265	BGS	5.0	27.08	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - N. Atlantic Tropical Gyral Province (TRPG)	Trades			
BGS_SAMN15782477_5_2018_10_06	13.811767	-28.293767	BGS	5.0	27.85	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - N. Atlantic Tropical Gyral Province (TRPG)	Trades			
BGS_SAMN15782478_5_2018_10_07	11.447017	-27.709033	BGS	5.0	28.1	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782479_5_2018_10_07	10.064333	-27.28305	BGS	5.0	28.83	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782480_5_2018_10_08	7.471267	-26.650083	BGS	5.0	28.77	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782481_5_2018_10_08	6.25555	-26.38115	BGS	5.0	28.7	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782482_5_2018_10_09	3.80775	-25.8358	BGS	5.0	28.43	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782483_5_2018_10_10	0.001733	-24.993033	BGS	5.0	26.71	2018.0	Illumina NovaSeq 6000	surface water		NORTHEAST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782484_5_2018_10_10	-1.150417	-24.98205	BGS	5.0	26.96	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782485_5_2018_10_11	-3.689	-24.979533	BGS	5.0	26.51	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - Western Tropical Atlantic Province	Trades			
BGS_SAMN15782490_5_2018_10_13	-12.102467	-24.928117	BGS	5.0	25.33	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782507_5_2018_10_22	-37.012083	-38.8346	BGS	5.0	16.77	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782508_5_2018_10_23	-38.5839	-40.6542	BGS	5.0	14.36	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782509_5_2018_10_23	-39.2097	-41.4751	BGS	5.0	12.6	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782510_5_2018_10_24	-40.52025	-43.0821	BGS	5.0	11.39	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782511_5_2018_10_24	-41.3708	-44.01415	BGS	5.0	12.45	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Trades - South Atlantic Gyral Province (SATG)	Trades			
BGS_SAMN15782512_5_2018_10_25	-43.004667	-45.982133	BGS	5.0	11.06	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - S. Subtropical Convergence Province	Westerlies			
BGS_SAMN15782513_5_2018_10_25	-43.7905	-46.955217	BGS	5.0	9.73	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - S. Subtropical Convergence Province	Westerlies			
BGS_SAMN15782514_5_2018_10_26	-45.2974	-48.895983	BGS	5.0	9.72	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - S. Subtropical Convergence Province	Westerlies			
BGS_SAMN15782515_5_2018_10_26	-46.017533	-49.872317	BGS	5.0	9.71	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - Subantarctic Province	Westerlies			
BGS_SAMN15782516_5_2018_10_27	-47.565333	-51.774033	BGS	5.0	9.71	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - S. Subtropical Convergence Province	Westerlies			
BGS_SAMN15782517_5_2018_10_27	-48.198533	-52.69225	BGS	5.0	10.1	2018.0	Illumina NovaSeq 6000	surface water		SOUTHWEST ATLANTIC OCEAN (20W)	ATLANTIC OCEAN	Westerlies - S. Subtropical Convergence Province	Westerlies			
BGS_SAMN15782520_6_2011_09_30	37.664	-64.161	BGS	6.0	24.97	2011.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Westerlies - Gulf Stream Province	Westerlies			
BGS_SAMN15782531_3_2011_10_12	21.668	-65.665	BGS	3.0	28.42	2011.0	Illumina NovaSeq 6000	surface water		NORTHWEST ATLANTIC OCEAN (40W)	ATLANTIC OCEAN	Trades - N. Atlantic Tropical Gyral Province (TRPG)	Trades			
BGS_SAMN15782551_7_2018_04_28	-29.9034	54.4995	BGS	7.0	23.17	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian S. Subtropical Gyre Province	Trades			
BGS_SAMN15782602_7_2018_05_05	-19.4888	54.6711	BGS	7.0	27.558	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian S. Subtropical Gyre Province	Trades			
BGS_SAMN15782631_2_2018_05_08	-11.8807	54.5567	BGS	2.0	27.821	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782644_7_2018_05_11	-9.2568	51.4293	BGS	7.0	28.204	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782655_7_2018_05_13	-8.1086	53.0743	BGS	7.0	28.778	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782657_2_2018_05_13	-8.0045	53.2943	BGS	2.0	28.796	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782661_3_2018_05_13	-7.0392	53.9578	BGS	3.0	28.405	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782666_7_2018_05_14	-5.5879	54.9577	BGS	7.0	28.98	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782669_7_2018_05_15	-5.1055	55.284	BGS	7.0	29.124	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782709_7_2018_05_24	2.7984	58.063	BGS	7.0	29.332	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782714_7_2018_05_25	3.9972	59.1579	BGS	7.0	29.534	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782715_7_2018_05_25	4.3504	59.4872	BGS	7.0	29.445	2018.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782726_7_2018_05_26	6.402	61.3622	BGS	7.0	29.75	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782727_7_2018_05_27	6.5259	61.4786	BGS	7.0	29.833	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782729_7_2018_05_27	6.7902	61.7254	BGS	7.0	29.878	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782730_7_2018_05_27	7.1237	62.0267	BGS	7.0	30.068	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782736_7_2018_05_28	8.395	63.1933	BGS	7.0	30.144	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782740_7_2018_05_28	9.1341	63.8733	BGS	7.0	30.498	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782742_7_2018_05_28	9.1954	63.9315	BGS	7.0	30.455	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782745_3_2018_05_29	9.9895	64.6675	BGS	3.0	30.17	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782748_7_2018_05_29	10.5378	64.6657	BGS	7.0	29.756	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782749_7_2018_05_29	11.0729	64.6655	BGS	7.0	29.897	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782753_7_2018_05_30	12.0486	64.6685	BGS	7.0	30.005	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782757_7_2018_05_30	12.8521	64.6665	BGS	7.0	30.138	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782759_7_2018_05_31	13.2422	64.6679	BGS	7.0	30.125	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782760_7_2018_05_31	13.7834	64.6671	BGS	7.0	30.443	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782764_7_2018_05_31	14.4836	64.6675	BGS	7.0	30.119	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782765_7_2018_05_31	14.8662	64.6666	BGS	7.0	30.194	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782770_7_2018_06_01	15.4738	65.7165	BGS	7.0	30.424	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782772_7_2018_06_01	15.689	66.089	BGS	7.0	30.469	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782773_7_2018_06_01	15.874	66.4118	BGS	7.0	30.649	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782776_7_2018_06_02	16.2354	67.04	BGS	7.0	30.553	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782779_3_2018_06_02	16.785	67.9927	BGS	3.0	30.515	2018.0	Illumina NovaSeq 6000	surface water		ARABIAN SEA	INDIAN OCEAN	Coastal - NW Arabian Upwelling Province	Coastal			
BGS_SAMN15782851_7_2016_03_31	-15.717108	94.99	BGS	7.0	27.366	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782852_7_2016_04_01	-15.447758	95.0013	BGS	7.0	27.355	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782858_7_2016_04_01	-13.840785	94.999977	BGS	7.0	28.345	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782862_7_2016_04_02	-12.761883	94.9999	BGS	7.0	29.395	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782865_7_2016_04_02	-11.947892	94.999873	BGS	7.0	29.69	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782866_7_2016_04_02	-11.627658	95.000033	BGS	7.0	29.745	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782867_7_2016_04_03	-11.420658	94.9997	BGS	7.0	29.806	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782868_7_2016_04_03	-11.104455	94.999983	BGS	7.0	29.796	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782869_7_2016_04_03	-10.884905	94.999033	BGS	7.0	30.399	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782870_7_2016_04_03	-10.652057	95.000023	BGS	7.0	30.482	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782871_7_2016_04_04	-10.347142	94.999723	BGS	7.0	30.2	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782877_7_2016_04_04	-8.729522	94.99947	BGS	7.0	30.788	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782881_7_2016_04_05	-7.673305	95.000645	BGS	7.0	31.409	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782882_7_2016_04_05	-7.379742	95.000012	BGS	7.0	30.614	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782883_7_2016_04_05	-7.134695	95.00006	BGS	7.0	30.991	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782885_7_2016_04_05	-6.59915	95.000317	BGS	7.0	30.469	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782886_7_2016_04_06	-6.369472	94.999963	BGS	7.0	30.43	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782887_7_2016_04_06	-6.068262	95.000028	BGS	7.0	30.343	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782888_7_2016_04_06	-5.773352	94.999982	BGS	7.0	30.746	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782889_7_2016_04_06	-5.529405	95.000237	BGS	7.0	30.995	2016.0	Illumina NovaSeq 6000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
BGS_SAMN15782897_7_2016_04_07	-3.615953	94.568713	BGS	7.0	30.569	2016.0	Illumina HiSeq 4000	surface water		INDIAN OCEAN	INDIAN OCEAN	Trades - Indian Monsoon Gyres Province	Trades			
